District,Station,Station_Abbr,Crop_Year,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,RAINFALL_MM_Mean,EVAPORATION_MM_Mean,EVAPOTRANSPIRATION_MM_Mean
Ahmednagar,Rahuri,RHI,1996-1997,1996,1997,1996-10-01,1997-09-30,365,337,92.32876712328768,338.79999999999995,333,1794.1,333,1099.7,333,7.857357357357357,333,31.845345345345347,333,15.94774774774775,333,23.895195195195196,333,78.8108108108108,333,39.76276276276276,333,91.23287671232876,83,21,303,0,,,
Ahmednagar,Rahuri,RHI,1997-1998,1997,1998,1997-10-01,1998-09-30,365,306,83.83561643835617,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,
Ahmednagar,Rahuri,RHI,1998-1999,1998,1999,1998-10-01,1999-09-30,365,310,84.93150684931507,2.0,4,16.5,4,86.8,4,76.5,4,23.175,4,22.35,4,17.15,4,53.9,4,27.65,4,1.095890410958904,0,0,3,0,,,
Ahmednagar,Rahuri,RHI,1999-2000,1999,2000,1999-10-01,2000-09-30,366,76,20.76502732240437,0.0,8,28.0,8,23.7,8,33.825,8,21.4875,8,13.6375,8,14.75,8,66.0,8,31.75,8,2.185792349726776,0,0,8,0,,,
Ahmednagar,Rahuri,RHI,2000-2001,2000,2001,2000-10-01,2001-09-30,365,0,0.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,
Ahmednagar,Rahuri,RHI,2001-2002,2001,2002,2001-10-01,2002-09-30,365,257,70.41095890410959,332.8,229,1339.5,229,693.9,229,7.125764192139738,229,32.713537117903925,229,19.564628820960696,229,26.136681222707423,229,71.82532751091703,229,40.71615720524017,229,62.73972602739726,68,35,204,2,,,
Ahmednagar,Rahuri,RHI,2002-2003,2002,2003,2002-10-01,2003-09-30,365,350,95.8904109589041,265.20000000000005,329,1941.0,329,1202.6,329,7.603647416413375,329,33.328267477203646,329,17.88085106382979,329,25.52340425531915,329,66.75075987841946,329,35.0516717325228,329,90.13698630136986,98,60,307,0,,,
Ahmednagar,Rahuri,RHI,2003-2004,2003,2004,2003-10-01,2004-09-30,366,360,98.36065573770492,80.7,335,1745.2999999999995,335,1147.7,335,7.93910447761194,335,32.68626865671642,335,18.04388059701493,335,25.37611940298508,335,68.0865671641791,335,36.58716417910448,335,91.53005464480874,89,38,320,0,,,
Ahmednagar,Rahuri,RHI,2004-2005,2004,2005,2004-10-01,2005-09-30,365,358,98.08219178082192,58.89999999999999,349,1777.0,349,1175.3,349,7.492263610315185,349,32.08223495702006,349,17.935243553008593,349,24.9730659025788,349,71.34383954154728,349,38.8730659025788,349,95.61643835616438,91,41,329,0,,,
Ahmednagar,Rahuri,RHI,2005-2006,2005,2006,2005-10-01,2006-09-30,365,362,99.17808219178085,61.1,356,1484.9,356,1226.2,356,7.500280898876404,356,31.803932584269663,356,17.382303370786516,356,24.62162921348315,356,71.31460674157303,356,37.10112359550562,356,97.53424657534246,82,29,337,0,,,
Ahmednagar,Rahuri,RHI,2006-2007,2006,2007,2006-10-01,2007-09-30,365,365,100.0,696.5999999999999,362,1755.3,362,1310.2,362,7.480662983425415,362,32.421270718232044,362,18.303591160221,362,25.34171270718232,362,71.6767955801105,362,41.45580110497237,362,99.17808219178085,87,46,315,3,,,
Ahmednagar,Rahuri,RHI,2007-2008,2007,2008,2007-10-01,2008-09-30,366,366,100.0,542.8000000000001,342,1959.3,342,1189.5,342,7.208187134502923,342,32.55555555555556,342,17.48625730994152,342,25.040058479532167,342,70.95029239766082,342,36.66081871345029,342,93.44262295081968,87,48,309,2,,,
